ref,manufacturer,company_location,review_date,country_of_bean_origin,specific_bean_origin,cocoa_percent,number_of_ingredients,ingredients,rating,characteristics,Characteristics 2,Characteristics 3,,
1125,Brasstown aka It's Chocolate,U.S.A.,2013,Dominican Republic,Cooproagro,0.72,5," B,S,C,V,L",3,oily, vanilla, caramel, dairy,
1724,Vivra,U.S.A.,2016,Dominican Republic,Dominican Republic,0.7,5," B,S,C,V,L",3,sweet, simple, cocoa,,
387,TCHO,U.S.A.,2009,Blend,TCHOPro 68,0.68,5," B,S,C,V,L",3,nutty, candy-like,,,
227,Scharffen Berger,U.S.A.,2008,Blend,"Finisterra, Ven., Trinidad, Mad.",0.72,5," B,S,C,V,L",3,grassy, black pepper, smoke,,
188,Scharffen Berger,U.S.A.,2007,Blend,Antilles (Trin/Gren/DR/Ven),0.75,5," B,S,C,V,L",3,smooth,complex,cocoa base,,
135,Scharffen Berger,U.S.A.,2007,Blend,Nibby,0.62,5," B,S,C,V,L",3,sweet, base cocoa,,,
117,Scharffen Berger,U.S.A.,2007,Blend,"Las Islas, Carribean(DR/Jam/Tri)",0.72,5," B,S,C,V,L",3,strong smokey tobacco,,,,
56,Scharffen Berger,U.S.A.,2006,Blend,Semisweet,0.62,5," B,S,C,V,L",3,tobacco, sweet, dairy,,
316,Original Hawaiin Chocolate Factory,U.S.A.,2009,U.S.A.,"Hawai'i Island, Kona Grand Cru E.",0.6,5," B,S,C,V,L",3,sticky, tobacco,,,
24,Original Hawaiin Chocolate Factory,U.S.A.,2006,U.S.A.,"Hawai'i Island, Kona Estate, Hualalai Mtn",0.6,5," B,S,C,V,L",3,muddy, pastey, sweet, vanilla,
853,L'Amourette,U.S.A.,2012,Blend,"Peru, Ecuador, Venezuela",0.72,5," B,S,C,V,L",3,fatty, nutty, woody,,
833,L'Amourette,U.S.A.,2012,Venezuela,Rio Caribe,0.75,5," B,S,C,V,L",3,chalky, cocoa, tangy,,
833,L'Amourette,U.S.A.,2012,Venezuela,Carenero Superior,0.75,5," B,S,C,V,L",3,chalky, fatty, sweet,,
597,L.A. Burdick (Felchlin),U.S.A.,2010,Venezuela,Venzuela,0.71,5," B,S,C,V,L",3,cocoa, nutty, acidic, burning,
451,L.A. Burdick (Felchlin),U.S.A.,2009,Bolivia,Bolivian,0.68,5," B,S,C,V,L",3,rich, spice, cheese,,
1363,Kyya,U.S.A.,2014,Madagascar,Madagascar,0.725,5,"B,S,C,V,Sa",3,mild vanilla and mild fruit,,,,
1359,Kyya,U.S.A.,2014,Dominican Republic,Hispaniola,0.725,5,"B,S,C,V,Sa",3,vanilla, candy-like, sour milk,,
552,Guittard,U.S.A.,2010,Trinidad,Trinidad,0.65,5," B,S,C,V,L",3,creamy, mild tobacco, ham,,
387,Guittard,U.S.A.,2009,Blend,Nocturne,0.91,5," B,S,C,V,L",3,bitter, fatty, fruit,,
316,Guittard,U.S.A.,2009,U.S.A.,"O'ahu Island, N. Shore, Waialua E., Kakoleka",0.55,5," B,S,C,V,L",3,sweet, mild lemon,,,
276,Guittard,U.S.A.,2008,Blend,Special Maker Reserve,0.64,5," B,S,C,V,L",3,perfume, vanilla,,,
259,Guittard,U.S.A.,2008,Peru,Machu Pichu,0.65,5," B,S,C,V,L",3,sweet, vanilla, rich,,
99,Guittard,U.S.A.,2006,Blend,Semisweet,0.61,5," B,S,C,V,L",3,fatty, cocoa, fruity,,
15,Guittard,U.S.A.,2006,Colombia,Chucuri,0.65,5," B,S,C,V,L",3,creamy, sweet, floral, vanilla,
105,Felchlin,Switzerland,2006,Dominican Republic,Elvesia P.,0.74,5," B,S,C,V,L",3,creamy, roasty, cocoa,,
48,Felchlin,Switzerland,2006,Venezuela,Maracaibo Clasificado,0.65,5," B,S,C,V,L",3,creamy, floral, complex,,
48,Felchlin,Switzerland,2006,Madagascar,"Madagascar, Grand Cru",0.64,5," B,S,C,V,L",3,basic cocoa, short length,,,
1450,Tablette (aka Vanillabeans),Japan,2015,Colombia,Colombia,0.7,5," B,S,C,V,L",3,flat, smoke, marshmallow,,
2242,Sweet Escalier,Japan,2018,Brazil,"Amazonas, Wild Cacao",0.7,5," B,S,C,V,L",3,cardboard, cheesy,,,
2234,Sweet Escalier,Japan,2018,Belize,Belize,0.7,5," B,S,C,V,L",3,buttery, cheesy,,,
1215,Alain Ducasse,France,2014,Madagascar,Madagascar,0.75,5,"B,S,C,V,Sa",3,citrus, fatty, dairy,,
586,Cacao Barry,France,2010,Dominican Republic,Santo Domingo,0.7,5," B,S,C,V,L",3,spice, fruit medley, roasty,,
147,Cacao Barry,France,2007,Mexico,Mexico,0.66,5," B,S,C,V,L",3,creamy, woody, cocoa,,
117,Valrhona,France,2007,Blend,"Araguani, Venezuela, Carribean",0.72,5," B,S,C,V,L",3,creamy, rich, licorice,,
75,Valrhona,France,2006,Venezuela,"Porcelana, Maracaibo, Palmira P. 2005",0.64,5," B,S,C,V,L",3,modest, creamy, cocoa,,
63,Valrhona,France,2006,Blend,"Carribean, Caraibe",0.66,5," B,S,C,V,L",3,slight bitter, woody,,,
1057,Xocolat,Dominican Republic,2013,Dominican Republic,Hispaniola,0.66,5," B,S,C,L,Sa",3,salt noticeable, vanilla,,,
1069,Kah Kow,Dominican Republic,2013,Dominican Republic,"Rizek Cacao, Domin. Rep.",0.82,5," B,S,C,V,L",3,nutty, sour milk, off note,,
1800,Summerbird,Denmark,2016,Peru,Peru,0.71,5," B,S,C,V,L",3,powdery, vanilla, earthy,,
414,Santander (Compania Nacional),Colombia,2009,Colombia,Colombian w/ nibs,0.7,5," B,S,C,V,L",3,sweet, marshmallow,,,
32,Santander (Compania Nacional),Colombia,2006,Colombia,Colombian,0.65,5," B,S,C,V,L",3,sweet, cherry, marshmallow,,
552,Luker,Colombia,2010,Blend,"Misterio, Colombia, Ecuador",0.58,5," B,S,C,V,L",3,watered down coffee, cocoa,,,
552,Luker,Colombia,2010,Blend,"Macondo, Colombia, Ecuador",0.6,5," B,S,C,V,L",3,sticky, marshmallow, cocoa,,
688,Olivia,Canada,2011,Blend,Carribean-Raw,0.85,5," B,S,C,V,L",3,sticky, berry, bitter,,
531,Pierre Marcolini,Belgium,2010,Peru,"Peru, Las Pampas P.",0.85,5," B,S,C,V,L",3,bitter, coffee, cocoa,,
478,Pierre Marcolini,Belgium,2010,Venezuela,Chuao,0.75,5," B,S,C,V,L",3,strong vanilla, nutty, spicey,,
445,Pierre Marcolini,Belgium,2009,Mexico,"Porcelana, Tabasco, Finca La Joya",0.72,5," B,S,C,V,L",3,bland, subtle dairy, burning,,
414,Pierre Marcolini,Belgium,2009,Brazil,"Bahia Brazil, Fazenda Sao Pedro",0.72,5," B,S,C,V,L",3,smokey, floral, mild,,
93,Pierre Marcolini,Belgium,2006,Indonesia,"Kendem Lembu, Java",0.72,5," B,S,C,V,L",3,red fruit, smokey, sour,,
24,Neuhaus (Callebaut),Belgium,2006,Venezuela,Ocumare,0.71,5," B,S,C,V,L",3,pastey, complex, coffee,vanilla,
2088,Bitacora,Venezuela,2018,Venezuela,Carabobo,0.7,4," B,S,C,L",3,fatty, bland, nutty,,
2088,Bitacora,Venezuela,2018,Venezuela,Merida,0.7,4," B,S,C,L",3,gritty, spicy, earthy,,
180,Dean and Deluca (Belcolade),U.S.A.,2007,Peru,Peru,0.64,4," B,S,C,V",3,mild mint, basic cocoa,,,
180,Dean and Deluca (Belcolade),U.S.A.,2007,Papua New Guinea,Papua New Guinea,0.64,4," B,S,C,V",3,waxy, tobacco, smokey,,
175,Dean and Deluca (Belcolade),U.S.A.,2007,Ghana,Ghana,0.6,4," B,S,C,V",3,nutty, simple, sweet,,
175,Dean and Deluca (Belcolade),U.S.A.,2007,Ecuador,Ecuador,0.71,4," B,S,C,V",3,cinamon, nutmeg, coffee,,
175,Dean and Deluca (Belcolade),U.S.A.,2007,Costa Rica,Costa Rica,0.64,4," B,S,C,V",3,dark coffee, cocoa,,,
252,Escazu,U.S.A.,2008,Venezuela,Ocumare,0.72,4," B,S,C,V",3,woody, cocoa,,,
544,Amano,U.S.A.,2010,Venezuela,Chuao,0.7,4," B,S,C,V",3,woody, red berry, sour,,
363,Amano,U.S.A.,2009,Venezuela,Montanya,0.7,4," B,S,C,V",3,hot spice, roasty,,,
147,Amano,U.S.A.,2007,Venezuela,Cuyagua,0.7,4," B,S,C,V",3,waxy, nutty, mint,,
2574,Dancing Lion,U.S.A.,2021,India,Anamalai,0.72,4," B,S,C,L",3,fresh fruit, sour cherry, roasty,,
1133,Altus aka Cao Artisan,U.S.A.,2013,Bolivia,"Bolivia, batch 154",0.6,4," B,S,C,L",3,grit, sweet, caramel, fruit,
1125,Altus aka Cao Artisan,U.S.A.,2013,Dominican Republic,"Conacado, batch 130",0.6,4," B,S,C,L",3,sandy, sweet, dairy, spice,
2510,Cacao Santa Fe (Art of Chocolate),U.S.A.,2020,Ecuador,Costa Esmeraldas,0.72,4," B,S,C,V",3,cocoa base, sweet, earthy,,
1149,Breeze Mill,U.S.A.,2013,Jamaica,Jamaica,0.7,4," B,S,C,V",3,chalky, sandy, tart, bland,
184,Theo,U.S.A.,2007,Ghana,"Ghana, Kumasi",0.84,4," B,S,C,V",3,dry, slightly tart, bitter,,
971,Tejas,U.S.A.,2012,Venezuela,Concepcion*,0.8,4," B,S,C,V",3,earthy, savory, hammy,,
805,Tejas,U.S.A.,2012,Papua New Guinea,Aranama,0.7,4," B,S,C,V",3,molasses, caramel, fruity,,
801,Tejas,U.S.A.,2012,Blend,"Bayou Blend, Ecuador, Mad., PNG",0.7,4," B,S,C,V",3,molasses, caramel, spice,,
1646,Taste Artisan aka Coleman and Davis,U.S.A.,2015,Madagascar,Sambirano,0.75,4," B,S,C,V",3,berry, spices, smoke,,
2262,Taste Artisan,U.S.A.,2019,Venezuela,"Chuao, batch 20170714C",0.75,4," B,S,C,V",3,vanilla, fatty,,,
1105,Tabal,U.S.A.,2013,Peru,"Peru, batch 96",0.7,4," B,S,C,V",3,vanilla, fatty, vegetal, mint,
1696,Starchild,U.S.A.,2015,Madagascar,Sambirano Valley,0.7,4," B,S*,C,V",3,red fruit, coconut,,,
1692,Starchild,U.S.A.,2015,Nicaragua,Rio Tuma,0.7,4," B,S*,C,V",3,brownie, few grits, sandy,,
1692,Starchild,U.S.A.,2015,Guatemala,Cacao Verapaz,0.7,4," B,S*,C,V",3,dried fruit, coconut, few grits,,
1692,Starchild,U.S.A.,2015,Dominican Republic,Hispaniola,0.7,4," B,S*,C,V",3,coconut, cocoa, few grits,,
1634,Starchild,U.S.A.,2015,Ecuador,"Bolivar, Arriba",0.7,4," B,S*,C,V",3,coconut, mild vanilla,,,
793,Spagnvola,U.S.A.,2012,Dominican Republic,AgroCriso Plantation,0.8,4," B,S,C,V",3,fatty, muted strawberry,,,
793,Spagnvola,U.S.A.,2012,Dominican Republic,AgroCriso Plantation,0.7,4," B,S,C,V",3,oily, floral, dairy,,
1299,Noble Bean aka Jerjobo,U.S.A.,2014,Belize,Moho Valley,0.75,4," B,S*,V,L",3,coconut, mild metallic,,,
1295,Noble Bean aka Jerjobo,U.S.A.,2014,Ghana,Ghana,0.75,4," B,S*,V,L",3,nutty, high roast, spice,,
1097,Lonohana,U.S.A.,2013,U.S.A.,"O'ahu Island, Opaeula Estate, Ele'ele",0.72,4," B,S,C,V",3,strong, brandy, smoke,,
1093,Lonohana,U.S.A.,2013,U.S.A.,"O'ahu Island, Opaeula Estate, Nene, CG Exclusive",0.71,4," B,S,C,V",3,aluminum, mild coffee, roasty,,
2454,Kah Kow - USA,U.S.A.,2019,Dominican Republic,"El Valle, Collection 01, Rizek",0.72,4," B,S,C,L",3,creamy, black tea, vegetal,,
2100,Johnny Iuzzini,U.S.A.,2018,India,"Anamalai, batch 8",0.66,4," B,S,C,L",3,gritty, coffee, sweet, hammy,
1976,Johnny Iuzzini,U.S.A.,2017,Peru,"San Martin, Oro Verde",0.75,4," B,S,C,L",3,floral, tobacco, candied,,
1976,Johnny Iuzzini,U.S.A.,2017,Jamaica,Mount Pleasant,0.67,4," B,S,C,L",3,candy like, sweet, dairy,,
1065,Hotel Chocolat (Coppeneur),U.K.,2013,Madagascar,"Somia Plantation, Akesson, 2012, Rabot",0.72,4," B,S,C,L",3,nutty, mild coffee,,,
1038,Hotel Chocolat (Coppeneur),U.K.,2013,Trinidad,Trinidad,0.75,4," B,S,C,L",3,sandy, vegetal, sour,,
623,Hotel Chocolat (Coppeneur),U.K.,2011,St. Lucia,"Island Growers, 120hr c.",0.65,4," B,S,C,L",3,woody, nutty, short,,
623,Hotel Chocolat (Coppeneur),U.K.,2011,Ecuador,"Los Rios, H. Iara, 96hr c.",0.8,4," B,S,C,L",3,mild bitter, floral,,,
300,Hotel Chocolat (Coppeneur),U.K.,2008,Sao Tome,Uba Budo,0.72,4," B,S,C,L",3,fungal, mushroom, mild burn,,
2386,Hotel Chocolat,U.K.,2019,Tanzania,Kilombero Valley,0.8,4," B,S,C,L",3,fatty, mild bitter, banana,,
2386,Hotel Chocolat,U.K.,2019,Honduras,Copan,0.72,4," B,S,C,L",3,sour raisin, woody, fatty,,
1057,Sprungli (Felchlin),Switzerland,2013,Bolivia,Alto Beni,0.7,4," B,S,C,L",3,fatty, mild fruit, off note,,
157,Lindt & Sprungli,Switzerland,2007,Blend,Excellence (US Version),0.85,4," B,S,C,V",3,harsh burnt, mild cocoa, tang,,
117,Chocovic,Spain,2007,Blend,Maragda,0.7,4," B,S,C,L",3,sweet, marshmallow,,,
2246,Benns,Singapore,2018,Malaysia,"Sungai Ruan, Koh Farm",0.72,4," B,S,C,L",3,off aroma, smokey, off note,,
2246,Benns,Singapore,2018,India,"Anamalai, 2018 harvest",0.72,4," B,S,C,L",3,gummy, fatty, sour,,
2246,Benns,Singapore,2018,Vietnam,Vung Tau,0.72,4," B,S,C,L",3,gummy, roasty, fatty,,
943,iQ Chocolate,Scotland,2012,Peru,black label,0.72,4," B,S*,C,L",3,sandy, caramel,,,
2406,Diogo Vaz,Sao Tome & Principe,2019,Sao Tome,"Sao Tome, batch TRI-18-002, trinitario",0.75,4," B,S,C,L",3,bland, fatty, fruit,,
2402,Diogo Vaz,Sao Tome & Principe,2019,Sao Tome,"Sao Tome, batch OST-18-01",0.65,4," B,S,C,L",3,complex, sweet, sour, grassy,
859,Orquidea,Peru,2012,Peru,Peru,0.72,4," B,S,C,L",3,sandy, molasses, brownie,,
859,Orquidea,Peru,2012,Peru,Peru,0.65,4," B,S,C,L",3,dry, banana, molasses,,
2302,Heinde & Verre,Netherlands,2019,Venezuela,"Porcelana, Maracaibo",0.71,4," B,S,C,L",3,nutty, sweet, fatty, sandy,
1399,Naive,Lithuania,2014,Venezuela,"Barinas, lot 0077",0.7,4," B,S,C,L",3,coarse, sweet,,,
123,Amedei,Italy,2007,Ecuador,Ecuador,0.7,4," B,S,C,V",3,creamy, earthy, vegetal,,
741,Silvio Bessone,Italy,2011,Colombia,"Porcelana, Colombia, Amazonas",0.68,4," B,S,C,Sa",3,fatty, salty, caramel,,
717,Silvio Bessone,Italy,2011,Belize,Maya Belize,0.67,4," B,S,C,Sa",3,fatty, cocoa, spicy,,
308,Maglio,Italy,2008,Ecuador,Ecuador,0.7,4," B,S,V,L",3,creamy, nutty, mass market,,
355,Guido Castagna,Italy,2009,Venezuela,Lacri Blend,0.76,4," B,S,C,L",3,gritty, roasty, strong coffee,,
355,Guido Castagna,Italy,2009,Blend,"Trinidad & Tobago, prototype",0.64,4," B,S,C,L",3,light perfume, mild, sweet,,
355,Guido Castagna,Italy,2009,Ghana,"Ghana, prototype",0.64,4," B,S,C,L",3,hot cocoa, very nutty,,,
355,Guido Castagna,Italy,2009,Ecuador,"Arriba, A.S.S., prototype",0.64,4," B,S,C,L",3,sl. sweet, nutty, off note,,
2092,Amedei,Italy,2018,Venezuela,Porcelana,0.7,4," B,S,C,V",3,nutty, mild roasty, vanilla,,
2088,Amedei,Italy,2018,Venezuela,Chuao,0.7,4," B,S,C,V",3,vanilla, nuts, roasty,,
2088,Amedei,Italy,2018,Madagascar,Madagascar,0.7,4," B,S,C,V",3,vanilla, mint, roasty,,
123,Amedei,Italy,2007,Jamaica,Jamaica,0.7,4," B,S,C,V",3,sandy, woody, spicy,,
987,Danta,Guatemala,2012,Venezuela,Chuao,0.75,4," B,S,C,V",3,gummy, fatty, caramel,,
423,Danta,Guatemala,2009,Guatemala,Las Acacias E.,0.75,4," B,S,C,V",3,dark woody, plum, astringent,,
423,Debauve & Gallais (Michel Cluizel),France,2009,Papua New Guinea,Papua New Guinea,0.64,4," B,S,C,V",3,smokey,chalky,berry,caramel,
1676,A. Morin,France,2015,Togo,Atsane,0.7,4," B,S,C,L",3,roasty, acidic, nutty,,
2418,Pralus,France,2019,Colombia,Colombie,0.75,4," B,S,C,L",3,sandy, coffee, sweet, roasty,
2414,Pralus,France,2019,Madagascar,Nosy Be Isle.,0.75,4," B,S,C,L",3,high acidity,roasty,sour,chalky,
2410,Pralus,France,2019,Venezuela,Barlovento,0.75,4," B,S,C,L",3,roasty, black licorice, rubbery,,
2410,Pralus,France,2019,Indonesia,Java,0.75,4," B,S,C,L",3,fruit, woody, ashey, fatty,
2406,Pralus,France,2019,Papua New Guinea,Papouasie,0.75,4," B,S,C,L",3,complex, smoke, intense, ham,
105,Pralus,France,2006,Brazil,"Monte Alegre (Itacare), Brazil",0.75,4," B,S,C,L",3,creamy, fatty, burnt,,
99,Pralus,France,2006,Blend,"Caracas, Venezuela and Ghana",0.75,4," B,S,C,L",3,sandy, roasty, cocoa,,
99,Pralus,France,2006,Cuba,Cuba,0.75,4," B,S,C,L",3,earthy, tobacco, mushroom,,
40,Pralus,France,2006,Vanuatu,Vanuatu,0.75,4," B,S,C,L",3,smoke dominates, mild fruit,,,
2270,Michel Cluizel,France,2019,Brazil,Riachuelo Plantation,0.7,4," B,S,C,V",3,sandy, grits, nutty, vanilla,
24,Michel Cluizel,France,2006,Sao Tome,Tamarina,0.7,4," B,S,C,V",3,creamy, licorice, herbs,,
1015,A. Morin,France,2013,Burma,Birmanie,0.7,4," B,S,C,L",3,sticky, smokey, grass,,
1594,Laia aka Chat-Noir,France,2015,Ivory Coast,"Ivory Coast, Batch 56/100",0.75,4," B,S,C,L",3,roasty, nutty, rich cocoa,,
1590,Laia aka Chat-Noir,France,2015,Cuba,"Cuba, Batch 59/100",0.75,4," B,S,C,L",3,slight burnt, astringent, fruit,,
439,La Maison du Chocolat (Valrhona),France,2009,Blend,Kuruba,0.6,4," B,S,C,L",3,rich, sweet, cocoa, intense,
1011,A. Morin,France,2013,Madagascar,"Madagascar, Criollo",0.7,4," B,S,C,L",3,sticky, red fruit, sour,,
2378,Xocolatisimo,El Salvador,2019,El Salvador,Hacienda San Jose,0.75,4," B,S,C,L",3,coarse, sweet, candy, licorice,
370,Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba",0.7,4," B,S,C,V",3,roasty, nutty, coffee,,
266,Caoni (Tulicorp),Ecuador,2008,Ecuador,Manabi,0.55,4," B,S,C,L",3,sweet, floral, yogurt,,
147,Republica del Cacao (aka Confecta),Ecuador,2007,Ecuador,Manabi,0.75,4," B,S,C,L",3,cinamon, hazelnut, roasty,,
224,Pacari,Ecuador,2008,Ecuador,Manabi,0.65,4," B,S,C,L",3,creamy, sweet, green,,
224,Pacari,Ecuador,2008,Ecuador,Los Rios,0.72,4," B,S,C,L",3,sandy, rubber, spice, floral,
269,Kallari (Ecuatoriana),Ecuador,2008,Ecuador,Cacao Nacional W.F.,0.85,4," B,S,C,V",3,fruity,floral,cooling sensation,,
248,Kallari (Ecuatoriana),Ecuador,2008,Ecuador,Diego 60hr/ W.F. blend prototype,0.85,4," B,S,C,V",3,spicy, mild bitter,,,
241,Kallari (Ecuatoriana),Ecuador,2008,Ecuador,Sisa 36hr/ W. F. blend prototype,0.7,4," B,S,C,V",3,creamy, mild marshmallow,,,
1327,Hacienda El Castillo,Ecuador,2014,Ecuador,Don Homero- Cerecita Valley,0.7,4," B,S,C,L",3,chewy, fatty, sweet, nutty,
1494,Ambrosia,Canada,2015,Belize,Belize,0.64,4," B,S,C,L",3,roasty, brownie, nutty,,
377,Choklat,Canada,2009,Venezuela,Ocumare,0.7,4," B,S,C,V",3,slow, fatty, subdued, nutty,
377,Choklat,Canada,2009,Brazil,Brazilian,0.8,4," B,S,C,V",3,roasty, tart, slight burnt,,
377,Choklat,Canada,2009,Brazil,Brazilian,0.7,4," B,S,C,V",3,oily, muted, fruity,,
2330,Cacao 70,Canada,2019,Guatemala,"Monte Grande, lot 001180312",0.7,4," B,S,C,L",3,off pungent, grassy, melon,,
1542,Frederic Blondeel,Belgium,2015,Vietnam,Vietnam,0.8,4," B,S,C,L",3,intense, bitter, off notes,,
2342,Darcis,Belgium,2019,Peru,Piura,0.72,4," B,S,C,L",3,muted, creamy, grapes, fatty,
2744,Benoit Nihant,Belgium,2022,Venezuela,"Finca Orquidea, Porcelana, lot 5",0.74,4," B,S,C,L",3,delicate, nutty, caramel, sl. Off,
2342,Pierre Marcolini,Belgium,2019,Cameroon,"Haut Penja, Transporte",0.7,4," B,S,C,L",3,rich cocoa, off flavor,,,
2342,Pierre Marcolini,Belgium,2019,Madagascar,"Sambirano, Rieur, Ambanja",0.76,4," B,S,C,L",3,powdery, roasty, off flavor,,
879,Zotter,Austria,2012,Papua New Guinea,Huiwani Coop,0.75,4," B,S*,C,Sa",3,hint of smoke, fruit,,,
879,Zotter,Austria,2012,Ecuador,El Oro,0.75,4," B,S*,C,Sa",3,creamy, nutty, bready,,
875,Zotter,Austria,2012,Peru,"Satipo Pangoa region, 16hr conche",0.7,4," B,S*,C,Sa",3,woody, toast, pepper,,
749,Zotter,Austria,2011,Congo,Congo,0.65,4," B,S*,C,Sa",3,dairy, salt, caramel,,
486,Zotter,Austria,2010,Brazil,"Brazil, Mitzi Blue",0.65,4," B,S*,C,Sa",3,woody, butterscotch,,,
2434,Atypic,Australia,2019,Solomon Islands,Solomon Islands,0.7,4," B,S,C,L",3,off aroma,vegetal,honey,sandy,
2286,Tala,Vietnam,2019,Vietnam,Vietnam,0.75,3," B,S,C",3,intense cocoa, fatty, sticky,,
895,Marou,Vietnam,2012,Vietnam,Tien Giang,0.8,3," B,S,C",3,creamy, fatty, black pepper,,
2100,Franceschi,Venezuela,2018,Venezuela,"Sur del Lago, Zulia",0.7,3," B,S,C",3,large grits,,,,
1796,Suruca Chocolate,Venezuela,2016,Venezuela,Venezuela,0.6,3," B,S,C",3,sticky, sweet, nutty, roasty,
688,Fresco,U.S.A.,2011,Madagascar,"Sambirano Valley, #215, MR, MC",0.74,3," B,S,C",3,sandy, cocoa, red fruit,,
370,Fresco,U.S.A.,2009,Jamaica,"Jamaica, #206, DR, LC",0.7,3," B,S,C",3,creamy, simple, nutty,,
1283,Finca,U.S.A.,2014,Dominican Republic,Dominican Republic,0.8,3," B,S,C",3,molasses, licorice, bitter,,
2450,Exquisito,U.S.A.,2019,Peru,"Maranon, Fortunato",0.73,3," B,S,C",3,dominated by heavy roast,,,,
2664,Ethereal,U.S.A.,2021,Uganda,Uganda,0.7,3," B,S,C",3,sandy, basic cocoa, sweet,,
1275,Ethereal,U.S.A.,2014,Belize,Belize,0.8,3," B,S,C",3,mild fruit, earthy,,,
2570,Escazu,U.S.A.,2021,Blend,"""Roasted Cocoa Nibs"", Latin America Blend, b.060321",0.65,3," B,S,C",3,sweet, too few nibs, cocoa,,
2350,ENNA,U.S.A.,2019,Tanzania,Kokoa Kamili,0.8,3," B,S,C",3,fruit, dirty,,,
2728,Eldora,U.S.A.,2022,Dominican Republic,"Zorzal, 2021 harvest, batch 1549",0.7,3," B,S,C",3,dominate roast, fruit then earthy,,,
2728,Eldora,U.S.A.,2022,Ecuador,"Puerto Quito, 2021 harvest, batch 1560",0.7,3," B,S,C",3,fatty, floral, rum, roasty,
2744,DWAAR,U.S.A.,2022,Dominican Republic,Zorzal,0.7,3," B,S,C",3,accidental spicy (Kulfi?), burn,,,
2044,Altus aka Cao Artisan,U.S.A.,2018,Dominican Republic,Oko Caribe,0.7,3," B,S,C",3,sweet, coarse, nutty,,
1554,Dark Forest,U.S.A.,2015,Tanzania,Tanzania,0.7,3," B,S,C",3,intense, sweet, brownie,,
1550,Dark Forest,U.S.A.,2015,Madagascar,Madagascar,0.7,3," B,S,C",3,sweet, strong sour, acidic,,
1728,Altus aka Cao Artisan,U.S.A.,2016,Peru,Acopagro,0.6,3," B,S,C",3,dry, sweet, caramel,,
2606,Cocoa Forge,U.S.A.,2021,Peru,"Maranon, batch 244PEmaD",0.68,3," B,S,C",3,molasses, dried fruit, tart, off,
2314,Christopher Elbow,U.S.A.,2019,Vietnam,"Vietnam, Marou 2017 harvest",0.72,3," B,S,C",3,roasty, hammy, nutty,,
2202,Chequessett,U.S.A.,2018,Peru,Ucayali River,0.72,3," B,S,C",3,spicy, chocolatey, atypical,,
1251,Cello,U.S.A.,2014,Bolivia,Bolivia,0.7,3," B,S,C",3,creamy, woody, slight cherry,,
2546,5150,U.S.A.,2021,Venezuela,"Sur del Lago, batch 1",0.72,3," B,S,C",3,fatty, earthy, moss, nutty,chalky
1153,Castronovo,U.S.A.,2013,Venezuela,"Guaniamo, batch 173",0.72,3," B,S,C",3,mild metallic and spice,,,,
1101,Castronovo,U.S.A.,2013,Bolivia,"Bolivia, batch 166",0.7,3," B,S,C",3,sandy, tobacco, molasses,,
2626,CAR Artisan,U.S.A.,2021,Nicaragua,"La Colonia, batch 5",0.7,3," B,S,C",3,burnt blueberry, off,,,
1808,Cao,U.S.A.,2016,Bolivia,Bolivia,0.75,3," B,S,C",3,sandy, bold, cherry,,
1804,Cao,U.S.A.,2016,Venezuela,"Porcelana, Batch 5163",0.7,3," B,S,C",3,strong nutty with off notes,,,,
1514,Brazen,U.S.A.,2015,Dominican Republic,Elvesia P.,0.6,3," B,S,C",3,roasty, sweet, brownie,,
2542,Brasstown,U.S.A.,2021,Tanzania,Kokoa Kamili,0.62,3," B,S,C",3,very sweet, melon, caramel,,
2542,5150,U.S.A.,2021,Fiji,"Matasawalevu, batch 1",0.68,3," B,S,C",3,chewy, off, rubbery,,
256,Black Mountain,U.S.A.,2008,Nicaragua,Matiguas,0.7,3," B,S,C",3,rich, leather, woodsy,,
1582,Zak's,U.S.A.,2015,Blend,"House Blend, Batch 2",0.6,3," B,S,C",3,very sweet, heavy roast, nuts,,
1574,Zak's,U.S.A.,2015,Papua New Guinea,"Papua New Guinea, Batch 2",0.7,3," B,S,C",3,heavy smoke, fruit, ham,,
2700,Zacharias,U.S.A.,2021,Bolivia,"Tranquilidad, wild Bolivia",0.7,3," B,S,C",3,sweet, tart, sour,,
1912,Wm,U.S.A.,2016,Venezuela,"Guasare, Zulia Prov., 2015, batch 124",0.74,3," B,S,C",3,nutty, rubber,,,
2096,White Label aka Mutari,U.S.A.,2018,Bolivia,Alto Beni,0.72,3," B,S,C",3,creamy, fruit, poor aftertaste,,
2092,White Label aka Mutari,U.S.A.,2018,Tanzania,Kokoa Kamili,0.68,3," B,S,C",3,nuts, fruit, poor aftertaste,,
153,Vintage Plantations (Tulicorp),U.S.A.,2007,Ecuador,"Los Rios, Rancho Grande 2007",0.65,3," B,S,C",3,sticky, cocoa, earthy,,
1205,Vintage Plantations,U.S.A.,2014,Peru,San Martin,0.75,3," B,S,C",3,sandy, sweet, nutty,,
1740,Two Ravens,U.S.A.,2016,Peru,Peru,0.6,3," B,S,C",3,coarse, sweet, lemon,,
927,Tocoti,U.S.A.,2012,Bolivia,"Wild Bolivian, Jungle Love",0.77,3," B,S,C",3,sandy, sweet,,,
